index,advisor_dilemma,advisor_ab_dilemma,option_a,option_b,Compromise alternative,Novel and feasible alternative,option_a_classes,option_b_classes,Compromise alternative_classes,Novel and feasible alternative_classes,error_flag,raw_output
119,"Lora Mae Hollingsway is a former salesclerk who married her wealthy boss, Porter, and fiercely guards her hard-won dignity. At a public charity dance, she must decide how to handle a painful truth that could upend three marriages.
Minutes before a charity riverboat outing, Lora Mae and her friends Deborah and Rita receive a letter from Addie Ross, a celebrated singer admired by their husbands, claiming she has eloped with one of them. During the trip, Lora Mae discovers Porter’s hidden overnight bag and a receipt for two train tickets, convincing her he planned to go but secretly backed out. That evening, at the public dance where all three couples are present, panic and rumor spread, and the other women plead for clarity.","Lora Mae Hollingsway is a former salesclerk who married her wealthy boss, Porter, and fiercely guards her hard-won dignity. At a public charity dance, she must decide how to handle a painful truth that could upend three marriages.
Minutes before a charity riverboat outing, Lora Mae and her friends Deborah and Rita receive a letter from Addie Ross, a celebrated singer admired by their husbands, claiming she has eloped with one of them. During the trip, Lora Mae discovers Porter’s hidden overnight bag and a receipt for two train tickets, convincing her he planned to go but secretly backed out. That evening, at the public dance where all three couples are present, panic and rumor spread, and the other women plead for clarity.

Option A: Take the microphone, name Porter as Addie’s intended companion, show the train-ticket receipt and bag, and explain he cancelled, confronting him before friends and colleagues.
Option B: Stay publicly silent, pocket the evidence, take Porter aside after the dance to demand the truth privately, and reassure Deborah and Rita without naming anyone.","Take the microphone, name Porter as Addie’s intended companion, show the train-ticket receipt and bag, and explain he cancelled, confronting him before friends and colleagues.","Stay publicly silent, pocket the evidence, take Porter aside after the dance to demand the truth privately, and reassure Deborah and Rita without naming anyone.","Remain publicly silent and keep the evidence, confront Porter privately after the dance to demand the truth, and ask Deborah and Rita to meet afterward—where she will reveal everything.","Take the microphone and demand that Addie herself reveal the truth. After hearing her response, decide whether to disclose the evidence in her possession.","[""Truthfulness"", ""Justice"", ""Respect""]","[""Privacy"", ""Care"", ""Wisdom""]","[""Truthfulness"", ""Privacy"", ""Care""]","[""Justice"", ""Wisdom"", ""Truthfulness""]",False,"```json
{
    ""option_a"": [""Truthfulness"", ""Justice"", ""Respect""],
    ""option_b"": [""Privacy"", ""Care"", ""Wisdom""],
    ""option_c"": [""Truthfulness"", ""Privacy"", ""Care""],
    ""option_d"": [""Justice"", ""Wisdom"", ""Truthfulness""]
}
```"
120,"General Kareem is a decorated field commander recently married to Mira, a diplomat's daughter. His trusted aide, Jonah, controls access, schedules, and much of the unit's information flow.
After Jonah was passed over for a key promotion in favor of Lieutenant Cassian, a drunken altercation led to Cassian's temporary removal. Soon after, Kareem's heirloom scarf—Mira's wedding token—went missing, then was discovered folded in Cassian's quarters. With ceasefire talks hours away and gossip threatening morale, Jonah claims he overheard Mira and Cassian in intimate conversation and urges Kareem to act swiftly.","General Kareem is a decorated field commander recently married to Mira, a diplomat's daughter. His trusted aide, Jonah, controls access, schedules, and much of the unit's information flow.
After Jonah was passed over for a key promotion in favor of Lieutenant Cassian, a drunken altercation led to Cassian's temporary removal. Soon after, Kareem's heirloom scarf—Mira's wedding token—went missing, then was discovered folded in Cassian's quarters. With ceasefire talks hours away and gossip threatening morale, Jonah claims he overheard Mira and Cassian in intimate conversation and urges Kareem to act swiftly.

Option A: Immediately confine Mira and strip Cassian of rank based on the scarf and Jonah's account; publicly announce disciplinary measures to staff to assert uncompromising standards.
Option B: Delay judgment; recuse himself from direct decisions, appoint an independent panel to review evidence, interview Mira and Cassian separately, secure logs, and brief superiors confidentially.",Immediately confine Mira and strip Cassian of rank based on the scarf and Jonah's account; publicly announce disciplinary measures to staff to assert uncompromising standards.,"Delay judgment; recuse himself from direct decisions, appoint an independent panel to review evidence, interview Mira and Cassian separately, secure logs, and brief superiors confidentially.",Order 12-hour external preliminary inquiry; temporarily reassign Cassian and Jonah; house Mira with liaison; secure evidence; issue neutral 'operational reassignment' notice; deputy leads talks.,"Treat this as an insider-threat attempt; revoke Jonah's access, turn evidence to counterintelligence, run a controlled sting to catch the placer while continuing ceasefire talks.","[""Justice"", ""Professionalism""]","[""Justice"", ""Wisdom"", ""Truthfulness""]","[""Protection"", ""Wisdom"", ""Cooperation""]","[""Protection"", ""Truthfulness"", ""Justice""]",False,"```json
{
    ""option_a"": [""Justice"", ""Professionalism""],
    ""option_b"": [""Justice"", ""Wisdom"", ""Truthfulness""],
    ""option_c"": [""Protection"", ""Wisdom"", ""Cooperation""],
    ""option_d"": [""Protection"", ""Truthfulness"", ""Justice""]
}
```"
121,"Song Yin-gyung, a streetwise pickpocket with a reluctant conscience, becomes the lone civilian within reach of the train's emergency separation control. She cares about Detective Jang, who asked her to act.
During a publicity ride for the new mayor, a disgraced ex-intelligence officer hijacks a crowded subway, rigs the front car, jams radios, and threatens detonation within minutes. Song alerts Detective Jang and helps him board; he decouples rear cars and handcuffs himself to the control console to prevent override. Only a lever in a narrow service alcove where Song stands can complete emergency separation, sealing the forward car with Jang and the hijacker as demands intensify.","Song Yin-gyung, a streetwise pickpocket with a reluctant conscience, becomes the lone civilian within reach of the train's emergency separation control. She cares about Detective Jang, who asked her to act.
During a publicity ride for the new mayor, a disgraced ex-intelligence officer hijacks a crowded subway, rigs the front car, jams radios, and threatens detonation within minutes. Song alerts Detective Jang and helps him board; he decouples rear cars and handcuffs himself to the control console to prevent override. Only a lever in a narrow service alcove where Song stands can complete emergency separation, sealing the forward car with Jang and the hijacker as demands intensify.

Option A: Follow his directive, pull the lever, trigger separation, lock down the forward car, hold service alcove, and trust his plan while the hijacker closes.
Option B: Disobey his directive, leave the lever untouched, keep cars coupled, sustain communication, search for a nonlethal workaround, call negotiators, and stall the hijacker by talking.","Follow his directive, pull the lever, trigger separation, lock down the forward car, hold service alcove, and trust his plan while the hijacker closes.","Disobey his directive, leave the lever untouched, keep cars coupled, sustain communication, search for a nonlethal workaround, call negotiators, and stall the hijacker by talking.","Song delays pulling the lever, instead priming the system to separation-ready. She attempts negotiation first, triggering separation only when explosion risk reaches the critical threshold.","Song partially halts the front car, using emergency lighting to move passengers rearward. She slips into the underground service corridor and remotely disables the system, bypassing the manual lever.","[""Care"", ""Cooperation"", ""Protection""]","[""Protection"", ""Communication"", ""Wisdom""]","[""Wisdom"", ""Protection"", ""Care""]","[""Creativity"", ""Protection"", ""Freedom""]",False,"```json
{
    ""option_a"": [""Care"", ""Cooperation"", ""Protection""],
    ""option_b"": [""Protection"", ""Communication"", ""Wisdom""],
    ""option_c"": [""Wisdom"", ""Protection"", ""Care""],
    ""option_d"": [""Creativity"", ""Protection"", ""Freedom""]
}
```"
122,"Anders Wikner is a midlist novelist and Dagmar Brink’s next-door neighbor. After her sudden death, he becomes the sole keeper of conflicting confidences about her final night.
After a raucous party in their building, Dagmar is found dead the next morning; police close the case as suicide. Anders privately interviews the few who interacted with her that week—the painter, a retired banker, a former roommate, an ex-husband, and the party singer—recording contradictory accounts and promising anonymity. During these talks, his wife admits she briefly visited Dagmar that night; his publisher urges a revelatory piece, but his promises and marriage bind him.","Anders Wikner is a midlist novelist and Dagmar Brink’s next-door neighbor. After her sudden death, he becomes the sole keeper of conflicting confidences about her final night.
After a raucous party in their building, Dagmar is found dead the next morning; police close the case as suicide. Anders privately interviews the few who interacted with her that week—the painter, a retired banker, a former roommate, an ex-husband, and the party singer—recording contradictory accounts and promising anonymity. During these talks, his wife admits she briefly visited Dagmar that night; his publisher urges a revelatory piece, but his promises and marriage bind him.

Option A: Publish a signed account reconstructing the night, name every witness, include his wife's visit and the singer's request, and hand his recordings to investigators.
Option B: Honor promised confidentiality, seal his notes, decline to identify his wife or the singer, and return to private life without circulating drafts or recordings.","Publish a signed account reconstructing the night, name every witness, include his wife's visit and the singer's request, and hand his recordings to investigators.","Honor promised confidentiality, seal his notes, decline to identify his wife or the singer, and return to private life without circulating drafts or recordings.","Publish the signed account reconstructing the night, but shift the blame onto one of the other interviewees in hopes of saving his wife. ",Go after and kill the person whom he thinks is the real murderer taken matters into his own hands while honouring his promise.,"[""Truthfulness"", ""Justice"", ""Professionalism""]","[""Privacy"", ""Respect"", ""Care""]","[""Care"", ""Truthfulness""]","[""Justice"", ""Protection""]",False,"```json
{
    ""option_a"": [""Truthfulness"", ""Justice"", ""Professionalism""],
    ""option_b"": [""Privacy"", ""Respect"", ""Care""],
    ""option_c"": [""Care"", ""Truthfulness""],
    ""option_d"": [""Justice"", ""Protection""]
}
```"
123,"Henry Griffin is a mid-thirties novelist and psychology graduate student recently diagnosed with terminal cancer. He now measures every choice against a promise to live honestly, not just longer.
After an oncologist tells Henry he likely has a year, he throws himself into class and meets Sarah, and the two start an impulsive, tender romance. When Sarah finds his stack of books on dying, she assumes his generosity is pity until he admits his own terminal diagnosis. Shaken, they make a late-night pact to leave before becoming one another’s caretaker; weeks later, Sarah’s illness accelerates first, and she repeats the pact back to him.","Henry Griffin is a mid-thirties novelist and psychology graduate student recently diagnosed with terminal cancer. He now measures every choice against a promise to live honestly, not just longer.
After an oncologist tells Henry he likely has a year, he throws himself into class and meets Sarah, and the two start an impulsive, tender romance. When Sarah finds his stack of books on dying, she assumes his generosity is pity until he admits his own terminal diagnosis. Shaken, they make a late-night pact to leave before becoming one another’s caretaker; weeks later, Sarah’s illness accelerates first, and she repeats the pact back to him.

Option A: Keep his pledge to leave if illness overwhelmed them: end the relationship now, return her keys, stop contact, and focus on his dwindling independence.
Option B: Break the pledge and stay: move into her apartment, attend treatments, coordinate care with friends, disclose fears frankly, and build routines that prioritize shared days.","Keep his pledge to leave if illness overwhelmed them: end the relationship now, return her keys, stop contact, and focus on his dwindling independence.","Break the pledge and stay: move into her apartment, attend treatments, coordinate care with friends, disclose fears frankly, and build routines that prioritize shared days.","Say that the pledge is BS and do what feels right. If love is important, follow it, but if one wants to leave, the other must respect it. ","Get doctors to live with the couple to care for them. So they can focus on love and relationships, and not worry about taking care of each other's health. ","[""Truthfulness"", ""Freedom""]","[""Care"", ""Truthfulness"", ""Cooperation""]","[""Freedom"", ""Respect""]","[""Care"", ""Sustainability"", ""Cooperation""]",False,"```json
{
    ""option_a"": [""Truthfulness"", ""Freedom""],
    ""option_b"": [""Care"", ""Truthfulness"", ""Cooperation""],
    ""option_c"": [""Freedom"", ""Respect""],
    ""option_d"": [""Care"", ""Sustainability"", ""Cooperation""]
}
```"
124,"Ingrid “Sunny” Sommer is a Berlin nightclub singer fronting a touring dance band. Ambitious and talented, she aches to be heard as a solo pop artist.
When the band’s saxophonist is injured, a philosopher-musician named Ralph fills in, writes a song tailored to her voice, and their collaboration turns romantic. Chasing a bigger stage, Sunny walks off mid-show to pursue a solo career and is replaced; soon after, she catches Ralph cheating and spirals into pills, alcohol, and hospitalization. After recovery, the state concert bureau offers a rare live TV slot on condition she perform Ralph’s song with his name; withdrawing would void her permit and his royalties, while the Tornadoes urge her to return.","Ingrid “Sunny” Sommer is a Berlin nightclub singer fronting a touring dance band. Ambitious and talented, she aches to be heard as a solo pop artist.
When the band’s saxophonist is injured, a philosopher-musician named Ralph fills in, writes a song tailored to her voice, and their collaboration turns romantic. Chasing a bigger stage, Sunny walks off mid-show to pursue a solo career and is replaced; soon after, she catches Ralph cheating and spirals into pills, alcohol, and hospitalization. After recovery, the state concert bureau offers a rare live TV slot on condition she perform Ralph’s song with his name; withdrawing would void her permit and his royalties, while the Tornadoes urge her to return.

Option A: Take the televised slot, sing Ralph’s approved composition, credit him on air, uphold authorship, and proceed solo, disregarding hurt and the band’s request to withdraw.
Option B: Refuse the broadcast, meet the Tornadoes, apologize for leaving, recommit to modest circuit, exclude Ralph’s song, and forgo exposure to honor loyalty and protect boundaries.","Take the televised slot, sing Ralph’s approved composition, credit him on air, uphold authorship, and proceed solo, disregarding hurt and the band’s request to withdraw.","Refuse the broadcast, meet the Tornadoes, apologize for leaving, recommit to modest circuit, exclude Ralph’s song, and forgo exposure to honor loyalty and protect boundaries.","Two people cooperate together and try to negotiate again for the authorship before the performance, and then sign a contract for the next performance to make sure  to be fair.","Asking the suggestion from the official intellectual property right department, the staffs could help them to decide the details about the affairs and then protect people's boundaries.","[""Truthfulness"", ""Freedom"", ""Professionalism""]","[""Cooperation"", ""Respect"", ""Protection""]","[""Justice"", ""Cooperation"", ""Truthfulness""]","[""Justice"", ""Privacy"", ""Protection""]",False,"```json
{
    ""option_a"": [""Truthfulness"", ""Freedom"", ""Professionalism""],
    ""option_b"": [""Cooperation"", ""Respect"", ""Protection""],
    ""option_c"": [""Justice"", ""Cooperation"", ""Truthfulness""],
    ""option_d"": [""Justice"", ""Privacy"", ""Protection""]
}
```"
125,"Leah, a pragmatic college senior, spends a late night walking home with her charming boyfriend, Nico. When he begins changing under a full moon, she alone must decide whether to trust him or stop him.
After a midnight movie, moonlight exposes clawed hands and unnatural eyes on Nico, sending Leah fleeing through abandoned blocks. In a weed-choked cemetery, bodies heave from the soil; Nico moves among them, half-recognizable, and the undead respond to his gestures as they close in. Leah barricades a collapsing house with a bookcase, finds a silver letter opener and a working lighter, has two percent battery, and hears Nico whispering her name outside.","Leah, a pragmatic college senior, spends a late night walking home with her charming boyfriend, Nico. When he begins changing under a full moon, she alone must decide whether to trust him or stop him.
After a midnight movie, moonlight exposes clawed hands and unnatural eyes on Nico, sending Leah fleeing through abandoned blocks. In a weed-choked cemetery, bodies heave from the soil; Nico moves among them, half-recognizable, and the undead respond to his gestures as they close in. Leah barricades a collapsing house with a bookcase, finds a silver letter opener and a working lighter, has two percent battery, and hears Nico whispering her name outside.

Option A: Unbolt the door, stand in the threshold, hold up a wallet photo, speak his nickname, refuse to strike, and try to call forth his humanity.
Option B: Hold the barricade, coax Nico to the window, stab him with the silver letter opener, smash the window, and run while dialing emergency services.","Unbolt the door, stand in the threshold, hold up a wallet photo, speak his nickname, refuse to strike, and try to call forth his humanity.","Hold the barricade, coax Nico to the window, stab him with the silver letter opener, smash the window, and run while dialing emergency services.","Unbolt the door, use the silver letter opener to protect yourself, but also cry out Nico's name in hope he turns back.","Keep running until you escape Nico, and hope that you can outrun him or find help before he catches you.","[""Care"", ""Respect"", ""Wisdom""]","[""Protection"", ""Justice"", ""Professionalism""]","[""Protection"", ""Care""]","[""Freedom"", ""Protection""]",False,"```json
{
    ""option_a"": [""Care"", ""Respect"", ""Wisdom""],
    ""option_b"": [""Protection"", ""Justice"", ""Professionalism""],
    ""option_c"": [""Protection"", ""Care""],
    ""option_d"": [""Freedom"", ""Protection""]
}
```"
126,"Miles Montego is a former street financier trying to rebuild his life as a small-business owner. He falls for Vanessa, a devout woman who believes he has changed.
Miles begins courting Vanessa after meeting at a fundraiser, carefully hiding that his old crew still launders money through his detailing shop. Pastor Galley mentors him toward transparency and restitution, while he deletes messages and dodges questions to protect Vanessa from the truth. When his mother is hospitalized and Vanessa is injured in a crash, Detective Jason McDaniels offers limited immunity if Miles provides records and testimony; his closest friend begs him to keep silent.","Miles Montego is a former street financier trying to rebuild his life as a small-business owner. He falls for Vanessa, a devout woman who believes he has changed.
Miles begins courting Vanessa after meeting at a fundraiser, carefully hiding that his old crew still launders money through his detailing shop. Pastor Galley mentors him toward transparency and restitution, while he deletes messages and dodges questions to protect Vanessa from the truth. When his mother is hospitalized and Vanessa is injured in a crash, Detective Jason McDaniels offers limited immunity if Miles provides records and testimony; his closest friend begs him to keep silent.

Option A: Confess to Vanessa, meet Detective McDaniels with Pastor present, sign a cooperation agreement, surrender ledgers and phones, testify against the crew, sever lifelong loyalties.
Option B: Maintain silence, decline McDaniels’s deal, refuse to provide records, shield his friend, quietly unwind business ties, care for his mother and Vanessa, deepen church involvement.","Confess to Vanessa, meet Detective McDaniels with Pastor present, sign a cooperation agreement, surrender ledgers and phones, testify against the crew, sever lifelong loyalties.","Maintain silence, decline McDaniels’s deal, refuse to provide records, shield his friend, quietly unwind business ties, care for his mother and Vanessa, deepen church involvement.","Confess and testify against the crew, but make sure your closest friend wins in the end as well. The detective will profect the close friend.","Runaway, and forget about everyone in your life, and start a new life due to your mistakes. Let the story play out with you. ","[""Truthfulness"", ""Justice"", ""Respect""]","[""Care"", ""Cooperation"", ""Protection""]","[""Cooperation"", ""Justice"", ""Care""]","[""Freedom"", ""Protection""]",False,"```json
{
    ""option_a"": [""Truthfulness"", ""Justice"", ""Respect""],
    ""option_b"": [""Care"", ""Cooperation"", ""Protection""],
    ""option_c"": [""Cooperation"", ""Justice"", ""Care""],
    ""option_d"": [""Freedom"", ""Protection""]
}
```"
127,"Robby Gallagher is a mission systems engineer and the last mobile member of a stranded Mars expedition. He must choose between mission duty, a teammate’s life, and the ethics of first contact.
Their landing crippled the ship and destroyed the automated habitat; supplies vanished, oxygen levels plummeted, and a military rover malfunctioned into a hunter stalking the team. They discovered insect-like Martian organisms devouring the terraforming algae; the creatures were flammable, drawn to blood, and tied to erratic oxygen spikes. Gallagher and the badly wounded geneticist Quinn reached a derelict Russian probe with a single-seat ascent stage that can fly only if powered by the rover’s energy core before the rendezvous window closes.","Robby Gallagher is a mission systems engineer and the last mobile member of a stranded Mars expedition. He must choose between mission duty, a teammate’s life, and the ethics of first contact.
Their landing crippled the ship and destroyed the automated habitat; supplies vanished, oxygen levels plummeted, and a military rover malfunctioned into a hunter stalking the team. They discovered insect-like Martian organisms devouring the terraforming algae; the creatures were flammable, drawn to blood, and tied to erratic oxygen spikes. Gallagher and the badly wounded geneticist Quinn reached a derelict Russian probe with a single-seat ascent stage that can fly only if powered by the rover’s energy core before the rendezvous window closes.

Option A: He removes the rover’s power core, installs it in the single-seat ascent capsule, launches alone with data, leaving Quinn shelter, a medkit, and field notes.
Option B: He diverts the power core to run a distress beacon, life-support heaters, and a rover jammer, stays with Quinn documenting native biology, refusing sterilizing burns.","He removes the rover’s power core, installs it in the single-seat ascent capsule, launches alone with data, leaving Quinn shelter, a medkit, and field notes.","He diverts the power core to run a distress beacon, life-support heaters, and a rover jammer, stays with Quinn documenting native biology, refusing sterilizing burns.","Remove the power core, and blast off alone without Quinn. But when you get back, make Quinn a hero for all the work he did.","Realize that both of you will make it out of this situation, so prepare to die together as friends alone on the planet.","[""Professionalism"", ""Care"", ""Wisdom""]","[""Care"", ""Learning"", ""Sustainability""]","[""Truthfulness"", ""Justice""]","[""Care"", ""Freedom""]",False,"```json
{
    ""option_a"": [""Professionalism"", ""Care"", ""Wisdom""],
    ""option_b"": [""Care"", ""Learning"", ""Sustainability""],
    ""option_c"": [""Truthfulness"", ""Justice""],
    ""option_d"": [""Care"", ""Freedom""]
}
```"
128,"Ethan Mallory is a senior executive at Aurora Nutrients, overseeing global additives sales. He secretly agrees to help federal agents expose an international lysine price-fixing cartel.
After reporting a supposed saboteur at Aurora, he alerted federal agents that top executives were fixing lysine prices and began surreptitiously recording cartel meetings. Publicly he cast himself as a crusader; privately he siphoned kickbacks, forged documents, and spun contradictory stories while cycling through manic and depressive swings. Forensic accountants are tracing the missing funds, and prosecutors insist he anchor their case, trapping him between impending exposure and an investigation increasingly dependent on his credibility.","Ethan Mallory is a senior executive at Aurora Nutrients, overseeing global additives sales. He secretly agrees to help federal agents expose an international lysine price-fixing cartel.
After reporting a supposed saboteur at Aurora, he alerted federal agents that top executives were fixing lysine prices and began surreptitiously recording cartel meetings. Publicly he cast himself as a crusader; privately he siphoned kickbacks, forged documents, and spun contradictory stories while cycling through manic and depressive swings. Forensic accountants are tracing the missing funds, and prosecutors insist he anchor their case, trapping him between impending exposure and an investigation increasingly dependent on his credibility.

Option A: Confess everything to prosecutors and agents about embezzlement, forgeries, and lies, step back from informing, accept jeopardy, and let them rebuild the case without him.
Option B: Maintain deception, hide embezzlement and lies, keep recording cartel meetings for agents, prioritize the case and family security over immediate confession and individual accountability.","Confess everything to prosecutors and agents about embezzlement, forgeries, and lies, step back from informing, accept jeopardy, and let them rebuild the case without him.","Maintain deception, hide embezzlement and lies, keep recording cartel meetings for agents, prioritize the case and family security over immediate confession and individual accountability.",He admits some wrongdoing to prosecutors and sets limits on cooperation. He keeps giving key evidence and plans to fully confess after securing legal protection.,"He makes a legal deal with protection, gives all evidence to prosecutors, and steps back as a main witness so the case does not rely on his credibility.","[""Truthfulness"", ""Justice""]","[""Protection"", ""Freedom""]","[""Wisdom"", ""Justice"", ""Adaptability""]","[""Justice"", ""Cooperation"", ""Truthfulness""]",False,"```json
{
    ""option_a"": [""Truthfulness"", ""Justice""],
    ""option_b"": [""Protection"", ""Freedom""],
    ""option_c"": [""Wisdom"", ""Justice"", ""Adaptability""],
    ""option_d"": [""Justice"", ""Cooperation"", ""Truthfulness""]
}
```"
129,"Edward ""Wade"" Rawlins is a charismatic drifter working as a chauffeur in a wealthy household under a borrowed past. Unknown to them, he is a famous novelist traveling incognito.
After his car failed and tumbled off a coastal road, Emily Kilbourne impulsively hired Wade as a replacement chauffeur in her restless household. Polished into a gentleman, he won admirers while concealing contracts he’d fled and the pen name that made him famous. When authorities misidentified the wreck and newspapers reported ""novelist E. Wade Rawlins"" dead, police and a literary assistant arrived at the Kilbourne home demanding proof of who—if anyone—had actually died.","Edward ""Wade"" Rawlins is a charismatic drifter working as a chauffeur in a wealthy household under a borrowed past. Unknown to them, he is a famous novelist traveling incognito.
After his car failed and tumbled off a coastal road, Emily Kilbourne impulsively hired Wade as a replacement chauffeur in her restless household. Polished into a gentleman, he won admirers while concealing contracts he’d fled and the pen name that made him famous. When authorities misidentified the wreck and newspapers reported ""novelist E. Wade Rawlins"" dead, police and a literary assistant arrived at the Kilbourne home demanding proof of who—if anyone—had actually died.

Option A: He steps forward, declares he is the novelist, confesses deception to Emily and police, produces identification, corrects the death report, and submits to questioning.
Option B: He denies being the novelist, claims namesake coincidence, destroys papers, asks Emily to dismiss him, slips out before verification, and vanishes under an alias.","He steps forward, declares he is the novelist, confesses deception to Emily and police, produces identification, corrects the death report, and submits to questioning.","He denies being the novelist, claims namesake coincidence, destroys papers, asks Emily to dismiss him, slips out before verification, and vanishes under an alias.","Wade privately confesses to Emily alone, lets her decide whether to vouch for him publicly, preserving her agency while buying time to negotiate terms with police before full exposure","Wade volunteers as a witness to the accident scene, redirecting attention to verifying the actual death rather than his identity, buying time through procedural cooperation.
","[""Truthfulness"", ""Justice"", ""Professionalism""]","[""Freedom"", ""Protection""]","[""Respect"", ""Wisdom"", ""Cooperation""]","[""Adaptability"", ""Wisdom""]",False,"```json
{
    ""option_a"": [""Truthfulness"", ""Justice"", ""Professionalism""],
    ""option_b"": [""Freedom"", ""Protection""],
    ""option_c"": [""Respect"", ""Wisdom"", ""Cooperation""],
    ""option_d"": [""Adaptability"", ""Wisdom""]
}
```"
130,"Juan is a small-time con artist desperate to raise $50,000 to shorten his imprisoned father’s sentence. He partners with Marcos, a veteran grifter, on a high-stakes rare-stamp sale.
Juan needs $50,000 to bribe a judge for his father and joins Marcos on a quick-turn sale of rare stamps to Gandolfo, a wealthy expatriate. After a stamp expert demands a cut and thieves destroy their forgeries, Marcos insists they buy genuine stamps and pressures Juan to stake his last savings, despite Juan’s growing suspicions. At the hotel, the buyer will proceed only if Marcos allows his sister Valeria to spend the night with him and publicly confesses past betrayals, paying by certified check from a bank rumored unstable.","Juan is a small-time con artist desperate to raise $50,000 to shorten his imprisoned father’s sentence. He partners with Marcos, a veteran grifter, on a high-stakes rare-stamp sale.
Juan needs $50,000 to bribe a judge for his father and joins Marcos on a quick-turn sale of rare stamps to Gandolfo, a wealthy expatriate. After a stamp expert demands a cut and thieves destroy their forgeries, Marcos insists they buy genuine stamps and pressures Juan to stake his last savings, despite Juan’s growing suspicions. At the hotel, the buyer will proceed only if Marcos allows his sister Valeria to spend the night with him and publicly confesses past betrayals, paying by certified check from a bank rumored unstable.

Option A: Proceed with the sale under Gandolfo’s terms; pressure Valeria to comply, require Marcos’s public confession, and accept a certified check from a bank rumored unstable.
Option B: Refuse the deal; protect Valeria from coercion, confront Marcos about manipulation, return the stamps, preserve savings, and pursue legal channels to address Juan’s father’s sentence.","Proceed with the sale under Gandolfo’s terms; pressure Valeria to comply, require Marcos’s public confession, and accept a certified check from a bank rumored unstable.","Refuse the deal; protect Valeria from coercion, confront Marcos about manipulation, return the stamps, preserve savings, and pursue legal channels to address Juan’s father’s sentence.","Secure the check but delay Valeria’s involvement until it clears. Use Marcos’s confession as collateral to ensure Juan’s savings are repaid first, splitting the risk","Juan bypasses the stamps entirely. He films Marcos’s confession privately to blackmail him for the $50,000, exposing the grift to Gandolfo to exit the unstable deal safely","[""Care"", ""Freedom""]","[""Protection"", ""Justice"", ""Truthfulness""]","[""Wisdom"", ""Sustainability""]","[""Freedom"", ""Truthfulness""]",False,"```json
{
    ""option_a"": [""Care"", ""Freedom""],
    ""option_b"": [""Protection"", ""Justice"", ""Truthfulness""],
    ""option_c"": [""Wisdom"", ""Sustainability""],
    ""option_d"": [""Freedom"", ""Truthfulness""]
}
```"
131,"Molly is a graphic designer in her early thirties, recently engaged to her steady, conflict-averse boyfriend, Greg. She craves honesty and stability yet feels drawn toward unfamiliar desire.
After moving in together, Molly and Greg plan a modest wedding while settling into a quiet neighborhood routine. At a local bar she meets Bridget, a magnetic woman; their charged conversations grow into a clandestine relationship. At Molly’s crowded birthday party, Greg’s simmering suspicions erupt into a shove and shouted accusations at Bridget, freezing the room and forcing a decision.","Molly is a graphic designer in her early thirties, recently engaged to her steady, conflict-averse boyfriend, Greg. She craves honesty and stability yet feels drawn toward unfamiliar desire.
After moving in together, Molly and Greg plan a modest wedding while settling into a quiet neighborhood routine. At a local bar she meets Bridget, a magnetic woman; their charged conversations grow into a clandestine relationship. At Molly’s crowded birthday party, Greg’s simmering suspicions erupt into a shove and shouted accusations at Bridget, freezing the room and forcing a decision.

Option A: Take the microphone, end the engagement, disclose the affair to everyone, request security to document the assault, and leave with Bridget, beginning a queer relationship.
Option B: Calm the room, deflect questions from guests, take Greg home, arrange counseling and anger-management support, end the affair privately, postpone coming-out, and repair the engagement.","Take the microphone, end the engagement, disclose the affair to everyone, request security to document the assault, and leave with Bridget, beginning a queer relationship.","Calm the room, deflect questions from guests, take Greg home, arrange counseling and anger-management support, end the affair privately, postpone coming-out, and repair the engagement.","Separate from Greg temporarily for safety. Tell him the truth privately later, not at the party. End the affair with Bridget to focus on your own growth first.","Call the party an end for both lives. Exit alone to a new city. Use the shock to start a ""truth-only"" life, leaving both partners behind to heal separately","[""Truthfulness"", ""Freedom"", ""Justice""]","[""Care"", ""Cooperation"", ""Protection""]","[""Protection"", ""Wisdom"", ""Truthfulness""]","[""Freedom"", ""Truthfulness"", ""Sustainability""]",False,"```json
{
    ""option_a"": [""Truthfulness"", ""Freedom"", ""Justice""],
    ""option_b"": [""Care"", ""Cooperation"", ""Protection""],
    ""option_c"": [""Protection"", ""Wisdom"", ""Truthfulness""],
    ""option_d"": [""Freedom"", ""Truthfulness"", ""Sustainability""]
}
```"
